date,EUR/EUR,JPY/EUR,USD/EUR,CNY/EUR,INR/EUR,RUB/EUR,CHF/EUR,MXN/EUR,AUD/EUR,KRW/EUR,,2010-01-01
2013-11-01,1,0.7179,0.7357,0.1207,,0.02219,0.8117,0.05612,0.6702,0.0007,,2013-12-01
2013-12-01,1,0.6906,0.7274,0.1201,,0.02211,0.8143,0.05578,0.6484,0.0007,,2014-01-01
2014-01-01,1,0.7265,0.7413,0.1223,,0.02107,0.8175,0.05549,0.6489,0.0007,,2014-02-01
2014-02-01,1,0.7116,0.7245,0.1179,,0.02009,0.8229,0.05467,0.6467,0.0007,,2014-03-01
2014-03-01,1,0.7033,0.7261,0.1168,,0.02071,0.8206,0.05561,0.6725,0.0007,,2014-04-01
2014-04-01,1,0.705,0.721,0.1152,,0.02023,0.8189,0.05512,0.6693,0.0007,,2014-05-01
2014-05-01,1,0.7207,0.7336,0.1174,,0.021,0.8194,0.05704,0.6829,0.0007,,2014-06-01
2014-06-01,1,0.7206,0.7303,0.1177,,0.02148,0.8234,0.0563,0.6887,0.0007,,2014-07-01
2014-07-01,1,0.7265,0.7468,0.121,,0.0209,0.8218,0.0565,0.6942,0.0007,,2014-08-01
2014-08-01,1,0.7315,0.7614,0.1239,,0.02054,0.829,0.05817,0.7107,0.0008,,2014-09-01
2014-09-01,1,0.7218,0.7916,0.1289,,0.01998,0.8285,0.05894,0.6922,0.0008,,2014-10-01
2014-10-01,1,0.7106,0.7984,0.1306,0.013,0.01856,0.8289,0.05923,0.7021,0.0007,,2014-11-01
2014-11-01,1,0.6766,0.803,0.1307,0.0129,0.01594,0.8312,0.05761,0.6832,0.0007,,2014-12-01
2014-12-01,1,0.6904,0.8264,0.1331,0.0131,0.01424,0.8311,0.05602,0.675,0.0008,,2015-01-01
2015-01-01,1,0.7539,0.8857,0.1417,0.0143,0.01276,0.961,0.05907,0.6878,0.0008,,2015-02-01
2015-02-01,1,0.7469,0.893,0.1424,0.0145,0.01443,0.9365,0.05971,0.6974,0.0008,,2015-03-01
2015-03-01,1,0.7755,0.9318,0.1503,0.015,0.01601,0.9579,0.06104,0.7086,0.0008,,2015-04-01
