Date,AUDMXN=X,CHFMXN=X,EURMXN=X,JPYMXN=X,USDMXN=X
2017-08-01 0:00,14.02029991,18.39940071,21.08650017,0.160549998,17.87730026
2017-09-01 0:00,14.22099972,18.59700012,21.28565216,0.160500005,18.12907982
2017-10-01 0:00,14.80000019,19.32220078,22.40673065,0.17013,19.17115021
2017-11-01 0:00,14.04329967,18.85309982,21.99902916,0.165710002,18.64817047
2017-12-01 0:00,15.34500027,20.17399979,23.5720005,0.174429998,19.63999939
2018-01-01 0:00,15.20119953,20.07589912,23.28630066,0.172529995,18.58709908
2018-02-01 0:00,14.6821003,20.05330086,23.04000092,0.175249994,18.82509995
2018-03-01 0:00,13.94499969,19.04000092,22.36212921,0.170939997,18.14640045
2018-04-01 0:00,14.12300014,18.8701992,22.60639954,0.170829996,18.63699913
2018-05-01 0:00,14.97900009,20.01169968,23.07929993,0.18197,19.77519989
2018-06-01 0:00,14.72999954,20.09499931,22.82460022,0.179680005,19.72929955
2018-07-01 0:00,13.72410011,18.74889946,21.69260025,0.166940004,18.53058052
2018-08-01 0:00,13.86880016,19.7147007,22.27809906,0.171969995,19.09984016
2018-09-01 0:00,13.51200008,19.04599953,21.87450027,0.164509997,18.70289993
2018-10-01 0:00,14.24810028,19.96649933,22.77350044,0.177440003,20.06159973
2018-11-01 0:00,14.81509972,20.31360054,23.05279922,0.178330004,20.22480011
2018-12-01 0:00,13.83819962,19.96619987,22.47270012,0.178039998,19.64537048
2019-01-01 0:00,13.85900021,19.22410011,21.93499947,0.175190002,19.10527992
2019-02-01 0:00,13.69859982,19.15089989,21.80820084,0.172859997,19.16448975
2019-03-01 0:00,13.75800037,19.5170002,21.73570061,0.175109997,19.4151001
2019-04-01 0:00,13.41069984,18.64319992,21.26230049,0.170110002,18.99839973
2019-05-01 0:00,13.48239994,19.38640022,21.73240089,0.178369999,19.52503967
2019-06-01 0:00,13.49300003,19.67700005,21.80150032,0.178090006,19.17284966
2019-07-01 0:00,13.10779953,19.26580048,21.27350044,0.175630003,19.05540085
2019-08-01 0:00,13.51200008,20.25200081,22.26619911,0.188649997,20.12080002
2019-09-01 0:00,13.31019974,19.86499977,21.5441494,0.182300001,19.67869949
2019-10-01 0:00,13.16880035,19.3010006,21.29240036,0.175504997,19.0929203
2019-11-01 0:00,13.21241379,19.53625488,21.5291996,0.178395003,19.53510094
2019-12-01 0:00,13.25380039,19.54240036,21.20680046,0.173886999,18.91769981
2020-01-01 0:00,12.60429955,19.38319969,20.72751999,0.172496006,18.78079987
2020-02-01 0:00,12.79084301,20.31660461,21.61411095,0.181319997,19.60510063
2020-03-01 0:00,14.69779968,24.82239914,26.28490067,0.220528007,23.83300018
2020-04-01 0:00,15.56550026,24.3803997,25.83060074,0.222764999,23.74200058
2020-05-01 0:00,14.77940369,23.04365921,24.6060009,0.205669001,22.15209961
2020-06-01 0:00,15.84379959,24.24069977,25.93059921,0.214295,23.05657005
2020-07-01 0:00,15.85309982,24.21139908,26.12820053,0.210242003,21.99539948
2020-08-01 0:00,16.03140068,24.06710052,25.92020035,0.205963001,21.74990082
2020-09-01 0:00,15.98810005,24.33480072,26.27869987,0.211761996,22.37350082
2020-10-01 0:00,14.88137245,23.0625267,24.94260025,0.202297002,21.34560013
2020-11-01 0:00,14.82719994,22.15789986,23.98660088,0.192506999,20.03807068
2020-12-01 0:00,15.29349995,22.55999947,24.46439934,0.192884997,19.89089966
2021-01-01 0:00,15.72638893,23.1044178,24.98800087,0.196535006,20.57690048
2021-02-01 0:00,16.45249939,23.08889961,25.18180084,0.196564004,20.86045074
2021-03-01 0:00,15.6551466,21.84590149,24.12120056,0.186532006,20.57600021
2021-04-01 0:00,15.58209991,22.04150009,24.29269981,0.183866993,20.02429962
2021-05-01 0:00,15.35907841,22.14949989,24.30470085,0.181293994,19.92609978
2021-06-01 0:00,14.88659954,21.51370049,23.57933998,0.179139003,19.80310059
2021-07-01 0:00,14.6899004,21.91623878,23.5720005,0.181434005,19.86870003
2021-08-01 0:00,14.68196392,21.95659828,23.75210953,0.183175996,20.1392498
2021-09-01 0:00,14.72350025,21.95129967,23.79500008,0.183146,20.50110054
2021-10-01 0:00,15.34460258,22.34959984,23.75699997,0.179360002,20.54039955
2021-11-01 0:00,15.49160004,23.48970032,24.48259926,0.190513,21.68079948
2021-12-01 0:00,14.83090019,22.38430023,23.16390038,0.177802995,20.45910072
2022-01-01 0:00,14.57180023,22.36599922,23.22789955,0.180705994,20.82900047
2022-02-01 0:00,14.78321934,22.19724655,22.99970055,0.177984998,20.57313919
2022-03-01 0:00,14.91100025,21.53109932,22.18619919,0.162909999,19.87815094
2022-04-01 0:00,14.53014565,21.0435009,21.51869965,0.156267002,20.36969948
2022-05-01 0:00,14.06060028,20.39229965,21.05240059,0.152842999,19.53129959
2022-06-01 0:00,13.84843445,21.09592056,21.02930069,0.147377998,20.13035965
2022-07-01 0:00,14.19248009,21.24798393,20.79199982,0.150902003,20.35099983
2022-08-01 0:00,13.80760002,20.67329979,20.18600082,0.145079002,20.12730026
2022-09-01 0:00,13.10309982,20.63890076,19.78039932,0.139332995,20.1245594
2022-10-01 0:00,12.6843996,19.88739967,19.72719955,0.134112999,19.82019997
2022-11-01 0:00,12.85270023,20.14620018,19.85400009,0.138606995,19.23200035
2022-12-01 0:00,13.23882484,21.06481934,20.8362999,0.148453996,19.46710014
