Date,AUDJPY=X,CHFJPY=X,CNYJPY=X,EURJPY=X,KRWJPY=X,MXNJPY=X,RUBJPY=X,USDJPY=X
2011-04-01 0:00,89.16169738769531,93.39330291748047,12.579000473022461,121,7.620600224,7.056600093841553,2.9611001014709473,81.52999877929688
2011-05-01 0:00,86.5,95.0530014,12.50100040435791,115.79000091552734,7.513599872589111,6.962200164794922,2.8677000999450684,80.87999725341797
2011-06-01 0:00,86.29000091552734,96.88099670410156,12.520999908447266,116.87000274658203,7.544600009918213,6.857299805,2.8842999935150146,80.70999908447266
2011-07-01 0:00,85.48999786376953,96.99600219726562,12.079000473022461,111.44100189208984,7.402100086212158,6.627099990844727,2.8187999725341797,77.73000336
2011-08-01 0:00,81.86000061035156,93.58799743652344,12.008999824523926,110.69000244140625,7.150000095367432,6.1244001388549805,2.6494998931884766,76.70099639892578
2011-09-01 0:00,74.88999938964844,85.50499725341797,11.932999610900879,104.26000213623047,6.513400077819824,5.591899871826172,2.397700071334839,76.76499938964844
2011-10-01 0:00,80.81999969482422,87.81300354003906,11.878000259399414,107.10399627685547,6.860199928283691,5.805699825286865,2.544300079345703,75.73999786376953
2011-11-01 0:00,78.08999633789062,84.62200164794922,12.192999839782715,103.87200164794922,6.830599784851074,5.6468000411987305,2.4528000354766846,77.95999908447266
2011-12-01 0:00,78.69000244140625,82.57599639892578,12.279999732971191,100.58699798583984,6.713699817657471,5.541600227355957,2.4142000675201416,77.65899658203125
2012-01-01 0:00,80.81999969482422,83.20999908447266,12.057999610900879,100.33000183105469,6.776700019836426,5.8796000480651855,2.511899948120117,76.36000061035156
2012-02-01 0:00,86.87799835205078,89.96499633789062,12.765999794006348,108.45999908447266,7.148799896240234,6.269800186157227,2.7725000381469727,80.48000336
2012-03-01 0:00,85.68299865722656,91.79000091552734,13.133999824523926,110.4800033569336,7.315400123596191,6.461599826812744,2.8250999450683594,82.86000061035156
2012-04-01 0:00,84.01200103759766,88.55999755859375,12.711999893188477,106.38999938964844,7.092400074005127,6.197700023651123,2.736999988555908,80.34999847
2012-05-01 0:00,76.63600158691406,81.34400177001953,12.413000106811523,97.71499633789062,6.690100193023682,5.573599815368652,2.4035000801086426,78.98200225830078
